タイムスタンプ,"ユーザーネーム","XID",当店にご帰宅したことはありますか？*,希望するキャストを3人まで選択してください。１,"自由記述欄,意気込みなど",その他,ペアチケットフラグ
2026/02/01 20:44:25,アルファ,coconut_vrc,1回以上ある！,"ふぃり,こなちゃ,しろん",1,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",1
2026/02/01 20:44:58,ベータ,beta_vrc,まだ1度もない！,"しらす,いざしー",2,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",1
2026/02/01 20:45:39,ガンマ,gamma_vrc,1回以上ある！,"なんこつ,そに,ニャンツァー",3,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:46:32,デルタ,delta_vrc,1回以上ある！,"ふぇる,めび,れあちーず",4,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:47:52,エプシロン,epsilon_vrc,1回以上ある！,"ばも,もく",5,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:48:45,ゼータ,zeta_vrc,まだ1度もない！,"るびちゃ,柘榴_ざくろ,ちるちる",6,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:49:25,エータ,eta_vrc,まだ1度もない！,"ヌウア,もく,せれにた",7,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:50:05,シータ,theta_vrc,まだ1度もない！,なりむ,8,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:50:24,イオタ,iota_vrc,1回以上ある！,"しらす,ふぇる,いざしー",9,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:50:48,カッパ,kappa_vrc,1回以上ある！,"こなちゃ,なんこつ,ばも",10,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:51:07,ラムダ,lambda_vrc,まだ1度もない！,"れあちーず,ふぃり,しろん",11,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:51:53,ミュー,mu_vrc,まだ1度もない！,"そに,もく,せれにた",12,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:52:21,ニュー,nu_vrc,1回以上ある！,めび,13,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:53:04,クシー,xi_vrc,1回以上ある！,"ちるちる,ニャンツァー,そいる",14,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:53:33,オミクロン,omicron_vrc,1回以上ある！,"ばじばじ,ぷりも,なりむ",15,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:54:03,パイ,pi_vrc,まだ1度もない！,"ヌウア,もく,すくいど",16,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:55:07,ロー,rho_vrc,1回以上ある！,"いざしー,こなちゃ,しろん",17,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:55:47,シグマ,sigma_vrc,まだ1度もない！,"なんこつ,ふぇる,れあちーず",18,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
