注意事項への同意	VRC-ID	X（旧:Twitter）アカウント名	話したいキャストの希望	意気込み・質問
同意する	SeaDrop_001	@bar_onedrop_01	AAA	初参加です。よろしくお願いします！
同意する	VRC_Alice_22	@alice_vrc22	QQQ・YYY	2回目です。前回楽しかったです
同意する	BlueOcean_99	@blueocean_99	BBB	話せるの楽しみにしています
同意する	Coral_Reef_7	@coral_reef7	DDD・FFF	お酒飲みながらお話ししたいです
同意する	Dolphin_San	@dolphin_san	CCC	よろしくお願いします
同意する	Echo_Sea	@echo_sea_vrc	UUU・HHH	初めてのBarイベントです
同意する	Foam_White	@foam_white	KKK	TTTさんともお話ししたい
同意する	Gulf_Stream	@gulf_stream_xx	RRR・GGG	カクテル楽しみです
同意する	Harbor_Light	@harbor_light	JJJ	2名で参加希望です
同意する	Ice_Floe_12	@ice_floe_12	WWW	よろしくお願いいたします
