X（Twitter）アカウント（URL形式）	VRChatのアカウント（URL形式）	当イベントへの参加は初めてですか？	【任意】気になる神はいらっしゃいますか？	自由記述欄	禁止事項・確認事項
https://x.com/otenjo_user1	https://vrc.game/users/usr_otenjo01	はい	AAA	初参加で緊張していますがよろしくお願いします	確認済み
https://x.com/otenjo_user2	https://vrc.game/users/usr_otenjo02	いいえ	QQQ・YYY	2回目です。前回楽しかったです	確認済み
https://x.com/otenjo_user3	https://vrc.game/users/usr_otenjo03	はい		神様たちとお話しできるのを楽しみにしています	確認済み
https://x.com/otenjo_user4	https://vrc.game/users/usr_otenjo04	いいえ	BBB・CCC	いつもありがとうございます	確認済み
https://x.com/otenjo_user5	https://vrc.game/users/usr_otenjo05	はい	UUU	初めてなのでドキドキです	確認済み
https://x.com/otenjo_user6	https://vrc.game/users/usr_otenjo06	いいえ		特になし。よろしくお願いします	確認済み
https://x.com/otenjo_user7	https://vrc.game/users/usr_otenjo07	はい	HHH・TTT	気になる神様が複数います	確認済み
https://x.com/otenjo_user8	https://vrc.game/users/usr_otenjo08	いいえ	RRR	3回目の参加です	確認済み
https://x.com/otenjo_user9	https://vrc.game/users/usr_otenjo09	はい		お約束はできない旨承知しています	確認済み
https://x.com/otenjo_user10	https://vrc.game/users/usr_otenjo10	いいえ	FFF・KKK	よろしくお願いいたします	確認済み
